feature,importance
route_PEKSUB,0.0001821620050686365
route_CTSSUB,0.00018117919324355742
route_LGKPER,0.0001805656366534332
route_CTULGK,0.00017985641991854776
route_KBVOOL,0.0001795042198429035
route_SYDTPE,0.00017903307972957263
route_CTUKBV,0.00017784054006109707
route_JHBXIY,0.00017701722989799408
route_TGGXIY,0.0001768572904811924
route_CTUURT,0.00017669354324360126
route_KIXTWU,0.00017642880094097222
route_HGHSGN,0.00017507266094776
route_LOPTPE,0.00017497058988948983
route_BDOHGH,0.00017468126262952852
route_ICNKBV,0.0001745584805344344
route_HGHMAA,0.00017139277358821817
route_BDOTPE,0.00017092130672603496
booking_origin_Russia,0.000169392980068724
booking_origin_Netherlands,0.0001688408831095865
route_KNOPER,0.00016873641884414844
route_CMBOOL,0.00016728106985964536
route_CXRMEL,0.00016700260657411128
route_JOGOOL,0.00016686425683640316
route_SINTPE,0.0001651017692316965
route_HYDOOL,0.00016270204298955517
route_KIXOOL,0.00016169220841212172
route_TWUXIY,0.00016134677675269744
route_DPSKTM,0.0001610048443074591
route_TPETWU,0.000160487347366741
route_CTUTGG,0.00015961755485587078
route_SUBSYD,0.00015919379350580993
route_HGHSBW,0.00015919136220255963
route_ICNMAA,0.0001590883184567522
route_MRUPVG,0.00015857590367369273
route_MELREP,0.00015742243639924435
booking_origin_Canada,0.00015595925563704333
route_PEKPER,0.00015448409177247296
route_HNDKBV,0.00015435065049046245
route_DADSYD,0.00015373493358308176
booking_origin_Sri Lanka,0.0001534086854783137
route_CTSOOL,0.00015261939612874837
route_CCUTPE,0.00015261468240935103
route_DELPNH,0.0001515490359774597
route_KCHXIY,0.0001509909409624303
route_KBRSYD,0.00015016428751893614
route_OOLVTE,0.00014982689661219593
route_HDYSYD,0.00014763025528347897
route_CGKJED,0.00014723748745849128
route_CEBSYD,0.0001466995160734784
route_HNDSBW,0.00014568617783650126
route_HGHOOL,0.0001448375277517791
booking_origin_Bangladesh,0.0001443234440955498
route_AORKTM,0.0001438615323512054
route_PEKREP,0.00014363497638889797
route_CANMRU,0.0001427537303032493
route_HGHKBV,0.00014221055652517326
route_KCHWUH,0.00014209068658123475
